Rank,Model,Accuracy,Precision (weighted),Recall (weighted),F1 (weighted),F1 (macro),Train time (s)
1,XGBoost,0.9851703406813628,0.9854519615221836,0.9851703406813628,0.9851557725560016,0.9856662518984002,0.8
2,Decision Tree,0.9775551102204408,0.977558346754745,0.9775551102204408,0.977556075415011,0.976273214568574,0.04
3,Random Forest,0.9579158316633266,0.9606555839899166,0.9579158316633266,0.9577469803782196,0.9600409062101569,0.8
4,Neural Network (MLP),0.9410821643286573,0.9412518311720339,0.9410821643286573,0.9410675502278699,0.9485492928799065,14.29
5,Logistic Regression,0.8825651302605211,0.8828929453492208,0.8825651302605211,0.8826551341905136,0.8957860254186519,0.93
6,SVM,0.8677354709418837,0.8699261278121289,0.8677354709418837,0.8665718586208716,0.8146197101171513,4.05
7,KNN,0.7258517034068136,0.7296776709248217,0.7258517034068136,0.7226901932868076,0.6331021789230137,0.03
8,Naive Bayes,0.052104208416833664,0.5967840487466819,0.052104208416833664,0.04433230082332814,0.049177903775881625,0.03
